id;bill_id;payment_method;amount;refund;debt_type;debt;creator;updater;create_time;update_time;payment_time;total_bill
1;98756;31454;89231;66820;7275;67774;58681;99904;2023-04-10;2023-04-11;2023-04-11;64762
2;98505;31430;9638;96509;3812;51159;38598;34680;2023-04-11;2023-04-10;2023-04-11;74432
3;47992;66717;91140;70065;49629;3384;26034;63361;2023-04-11;2023-04-10;2023-04-11;1622
4;41975;98401;17240;85409;96382;11054;22288;49212;2023-04-10;2023-04-10;2023-04-10;74210
5;32047;59832;26159;51884;93580;20004;57241;58511;2023-04-11;2023-04-11;2023-04-11;85450
6;47772;10170;81360;99585;21122;28168;51345;66807;2023-04-10;2023-04-10;2023-04-11;7218
7;68319;23678;30802;13467;25438;80195;11673;25600;2023-04-11;2023-04-10;2023-04-10;49156
8;85723;23632;38860;32631;73678;61546;98882;66352;2023-04-10;2023-04-10;2023-04-10;20437
9;62105;73757;37825;18339;94371;43697;73323;82345;2023-04-10;2023-04-10;2023-04-11;68525
10;53635;87562;93641;83736;25582;30339;77673;861;2023-04-10;2023-04-10;2023-04-10;83040
